Date;company;Date2;location;Date3;title
2014-07-17;宏達國際電子股份有限公司;2014-07-17;新北市 新店區;2014-07-17;(Studio Engineering) Sr./ Server Side Engineer (台北) - J00675
2016-04-26;台貿全球電子商務股份有限公司;2016-04-26;新北市 林口區;2016-04-26;雲端平台研發工程師
2016-04-26;財團法人金屬工業研究發展中心;2016-04-26;高雄市 楠梓區;2016-04-26;海量資料系統開發工程師
2014-04-07;趨勢科技股份有限公司;2014-04-07;台北市 大安區;2014-04-07;2014-17135: Sr. Cloud Development Engineer
2014-04-07;趨勢科技股份有限公司;2014-04-07;台北市 大安區;2014-04-07;2014-17063: Sr. Data Science Engineer
2014-04-07;趨勢科技股份有限公司;2014-04-07;台北市 大安區;2014-04-07;2013-16780: Developer
2014-06-11;遠傳電信股份有限公司;2014-06-11;台北市 內湖區;2014-06-11;Big Data 技術架構師(Architect)
2014-06-11;關貿網路股份有限公司;2014-06-11;台北市 南港區;2014-06-11;(校園徵才)研發替代役人員_雲端運算平台及營運管理服務機制建置
2014-06-11;遠傳電信股份有限公司;2014-06-11;台北市 內湖區;2014-06-11;Big Data 技術副理
2014-06-11;優力華人力資源管理顧問有限公司;2014-06-11;台北市;2014-06-11;Data Engineer
2014-06-11;華亞科技股份有限公司;2014-06-11;桃園縣 龜山鄉;2014-06-11;103年度研發替代役-資訊開發工程師
2014-08-25;Teradata;2014-08-25;台北市;2014-08-25;Presale Cons-TD (II)
2016-05-27;永豐金融控股股份有限公司;2016-05-27;台北市 中山區;2016-05-27;商業智能部-大數據分析人員-銀行
2016-05-27;緯創軟體股份有限公司;2016-05-27;新竹市;2016-05-27;Cloud Computing軟體工程師-新竹
2016-05-27;笛林傑國際科技股份有限公司;2016-05-27;台北市 信義區;2016-05-27;軟體系統工程師
2014-06-25;華德士(Robert Walters);2014-06-25;台北市;2014-06-25;Senior System Developer, Security and Big Data
2014-08-29;趨勢科技;2014-08-29;台北市;2014-08-29;Sr. Engineer (Application Control)
2014-09-03;華亞科技股份有限公司;2014-09-03;桃園縣 龜山鄉;2014-09-03;資訊開發工程師
2014-09-03;華亞科技股份有限公司;2014-09-03;桃園縣 龜山鄉;2014-09-03;資訊開發資深工程師
2014-09-03;叡揚資訊股份有限公司;2014-09-03;台北市 中山區;2014-09-03;軟體工程師
2014-07-02;華亞科技股份有限公司;2014-07-02;桃園縣 龜山鄉;2014-07-02;資訊開發工程師
2014-07-02;華亞科技股份有限公司;2014-07-02;桃園縣 龜山鄉;2014-07-02;資訊開發資深工程師
2014-07-02;叡揚資訊股份有限公司;2014-07-02;台北市 中山區;2014-07-02;軟體工程師
2014-04-02;趨勢科技;2014-04-02;台北市;2014-04-02;Sr. Engineer (Data Researcher)
2016-06-04;昕力資訊股份有限公司;2016-06-04;台北市 內湖區;2016-06-04;(PCSD)產品研發工程師-Big Data
2016-06-04;英屬開曼群島商博衛生物醫學有限公司;2016-06-04;台北市 內湖區;2016-06-04;Big Data 工程師
2016-06-04;緯創資通股份有限公司;2016-06-04;新北市 汐止區;2016-06-04;-雲端技術服務顧問
2016-06-04;印度商塔塔顧問服務有限公司;2016-06-04;台北市 中山區;2016-06-04;云計算開發資深工程師
2014-08-18;宏達國際電子股份有限公司;2014-08-18;新北市 新店區;2014-08-18;(RD S/W) Business Intelligence Developer - J00823
2014-08-18;愛爾達科技股份有限公司;2014-08-18;台北市 中正區;2014-08-18;Technical Manager
2014-08-18;台灣新蛋股份有限公司;2014-08-18;台北市 內湖區;2014-08-18;Senior Developer(台北)
2014-08-18;神通資訊科技股份有限公司;2014-08-18;台北市 內湖區;2014-08-18;商業智慧管理師
2014-08-18;台灣積體電路製造股份有限公司;2014-08-18;新竹市;2014-08-18;資訊工程類 - 系統/軟體開發工程師(竹科)
2014-05-13;友訊科技股份有限公司;2014-05-13;台北市 內湖區;2014-05-13;Cloud Service Developer
2014-06-04;趨勢科技;2014-06-04;台北市;2014-06-04;Sr. Engineer (Data Engineer)
2014-05-14;愛爾達科技股份有限公司;2014-05-14;台北市 中正區;2014-05-14;Technical Manager
2014-05-02;趨勢科技;2014-05-02;台北市;2014-05-02;(Sr.) Developer
2014-07-05;永慶房產集團;2014-07-05;台北市 大安區;2014-07-05;Big Data資深開發工程師.
